event	verdict	n_row	n_inbeam	inbeam_labels
172552	keep	11	1	STM
172596	keep	11	1	STM
172656	keep	10	1	nu-candidate
172722	tgm	9	1	TGM
172788	keep	18	2	nu-candidate,STM
172794	all-fc	16	1	nu-candidate
172832	all-fc	15	1	nu-candidate
172860	no-inbeam-bundle	11	0	-
172926	no-inbeam-bundle	10	0	-
172942	all-fc	10	1	nu-candidate
173058	all-fc	13	1	nu-candidate
173146	keep	10	1	nu-candidate
173234	all-fc	8	1	nu-candidate
173256	keep	11	1	nu-candidate
173294	no-inbeam-bundle	7	0	-
173476	no-inbeam-bundle	10	0	-
173498	keep	12	1	nu-candidate
173586	all-fc	8	1	nu-candidate
173718	all-fc	11	1	nu-candidate
173822	no-inbeam-bundle	8	0	-
173888	all-fc	9	1	nu-candidate
173982	tgm	7	1	TGM
174114	all-fc	15	1	nu-candidate
174136	no-inbeam-bundle	8	0	-
174224	keep	14	1	nu-candidate
174240	no-inbeam-bundle	12	0	-
174306	no-inbeam-bundle	13	0	-
174422	keep	9	1	STM
174488	keep	12	1	STM
174576	keep	12	1	nu-candidate
174642	keep	8	1	STM
174752	all-fc	10	1	nu-candidate
174878	no-inbeam-bundle	10	0	-
174928	mixed	12	2	nu-candidate,TGM
175016	all-fc	14	1	nu-candidate
175104	keep	6	1	nu-candidate
175428	keep	12	1	STM
175500	no-inbeam-bundle	13	0	-
175808	keep	14	1	nu-candidate
175896	keep	13	1	nu-candidate
175956	no-inbeam-bundle	11	0	-
176022	keep	7	1	STM
176066	no-inbeam-bundle	13	0	-
176088	no-inbeam-bundle	8	0	-
176132	no-inbeam-bundle	19	0	-
176160	keep	15	1	STM
276198	tgm	15	1	TGM
276330	no-inbeam-bundle	14	0	-
276418	no-inbeam-bundle	14	0	-
276550	no-inbeam-bundle	13	0	-
276638	tgm	10	1	TGM
276836	all-fc	12	1	nu-candidate
277276	keep	8	1	nu-candidate
277298	all-fc	12	1	nu-candidate
277320	no-inbeam-bundle	9	0	-
277782	no-inbeam-bundle	11	0	-
277958	keep	12	1	STM
278046	all-fc	11	1	nu-candidate
278266	all-fc	15	1	nu-candidate
278398	tgm	13	1	TGM
278420	all-fc	13	1	nu-candidate
278640	keep	10	1	STM
278662	keep	13	1	STM
278684	keep	13	1	nu-candidate
278785	all-fc	11	1	nu-candidate
278794	keep	8	1	STM
278860	no-inbeam-bundle	10	0	-
278917	no-inbeam-bundle	12	0	-
278939	no-inbeam-bundle	10	0	-
279080	keep	14	1	nu-candidate
279115	no-inbeam-bundle	12	0	-
279124	no-inbeam-bundle	8	0	-
279190	all-fc	14	1	nu-candidate
279256	all-fc	15	1	nu-candidate
279432	no-inbeam-bundle	12	0	-
279445	keep	14	1	nu-candidate
279564	no-inbeam-bundle	11	0	-
279643	all-fc	13	1	nu-candidate
279797	no-inbeam-bundle	17	0	-
279951	keep	12	1	nu-candidate
280017	all-fc	10	1	nu-candidate
280092	keep	11	1	STM
280281	mixed	12	2	STM,TGM
280466	tgm	9	1	TGM
280598	keep	12	1	nu-candidate
280752	all-fc	11	1	nu-candidate
280774	keep	13	1	nu-candidate
280853	all-fc	9	1	nu-candidate
280884	no-inbeam-bundle	8	0	-
280972	keep	9	1	nu-candidate
280994	all-fc	11	1	nu-candidate
281095	keep	14	1	STM
281148	keep	10	1	STM
281155	no-inbeam-bundle	11	0	-
