# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-mcp2k ql=work-mcp2k-ql0819 events=2000 products=16000 missing=0
#evt	product	rollup_sha256	members
49877	ql/pctree-evt49877.tar.gz	24c8476f059fd245f1c8b88f22915e87e5a397f41b1194b5ae62371f6de1fc71	410
49984	img/icluster-apa0-active	e64643c17cc20584cd9c800f03a2abc29a7430dbc167c9be36dea7f2bb6feb69	12
49984	img/icluster-apa0-masked	ff8749670bc0f9942f846773b7efa13a55383fb4cc3f4c5fa9d540ef0a98ac9c	9
49984	img/icluster-apa1-active	c0e960d4c126db3f4e144363861fd56d221493976225e6ce0e51b26ceb1961fb	12
49984	img/icluster-apa1-masked	dc4664f8f660e811c93aac773cde49b3978d5121fcc327b7eea861de08fdfb28	9
49984	ql/mabc-all-apa.zip	e866d5d59741d7834a6036e50be0f6d3e7292e90b8c44aa4b5320cfd65eb1949	5
49984	ql/mabc-apa0-face0.zip	966d04f3a1fcb194f3ad87a8aa8b84a1f585de4af2e52c83809513844e245bc7	2
49984	ql/mabc-apa1-face0.zip	fd26ee9f0dfbe1275e830d8f1f86789b2293279a0c2e9bd2b6343ba32fa8f11d	2
49984	ql/pctree-evt49984.tar.gz	2ce89c858763719a35b898438fd0fcd8a713ea487ed0b035fc37cc60db9831f3	410
49987	img/icluster-apa0-active	96f54eed46ef8cc098789a4967541e5bbe4f363aebc4c3e1fe26c795e7ee582c	12
49987	img/icluster-apa0-masked	abc5a03551cfb7b9192ccb43754dd96c2889467c170dab59d54ea4fb336119a1	9
49987	img/icluster-apa1-active	1a2c2b522643e09d193a907e959e10245c720463d26ec51696e5234b3467cd1e	12
49987	img/icluster-apa1-masked	58ffe86b4ab142828874335fa79a130a32f26cdf205a1bb6dca4ddb750c3e81a	9
