arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	286177	0	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	286180	0	6	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	286191	0	7	7001	232.2440948486328	0.14212100207805634	95.67423248291016	241.1800994873047	243.6	249.1	96.3	1	0	0	0	1	0	0	7
work-mcp1k-mcs80on	286241	0	11	11000	642.0716552734375	0.02087782695889473	302.78118896484375	689.0271606445312	705.7	674.3	306.5	1	0	0	0	1	5	6	20
work-mcp1k-mcs80on	286268	0	11	11003	461.9585876464844	0.0633864775300026	201.12596130371094	466.3348083496094	470.6	490.6	201.8	1	0	0	0	1	0	0	14
work-mcp1k-mcs80on	286353	0	9	9004	1531.35205078125	0.8032500147819519	193.92054748535156	450.5501708984375	458.9	425.8	196.4	0	0	0	0	1	0	0	13
work-mcp1k-mcs80on	286400	0	11	11003	756.7560424804688	8.622793393442407e-05	348.90069580078125	790.0594482421875	807.6	831.8	350.6	1	0	0	0	1	2	3	24
work-mcp1k-mcs80on	286527	0	16	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	286655	0	79	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	286681	0	3	3004	15.43396282196045	1.0	61.68171310424805	168.91893005371094	176.9	135.2	65.0	0	0	0	0	1	0	0	4
work-mcp1k-mcs80on	286681	1	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	286818	0	5	5002	117.91999053955078	0.7077346444129944	43.398719787597656	129.1452178955078	129.5	121.2	43.4	1	0	0	0	1	0	0	3
work-mcp1k-mcs80on	286906	0	41	9001	554.03369140625	0.6255636811256409	127.29337310791016	307.8811340332031	309.5	293.4	127.3	0	0	0	0	1	0	0	9
work-mcp1k-mcs80on	287007	0	21	21008	216.30828857421875	0.9698752760887146	39.478179931640625	120.3248062133789	122.2	112.7	40.2	1	0	0	0	0	0	0	3
work-mcp1k-mcs80on	287211	0	10	10001	233.64370727539062	0.14723505079746246	99.0700454711914	248.341064453125	254.9	239.5	101.7	1	0	0	0	1	0	0	7
work-mcp1k-mcs80on	287249	0	14	14001	348.1869201660156	0.1552465558052063	138.4612579345703	331.5028991699219	334.6	331.8	139.0	1	0	0	0	1	0	0	10
work-mcp1k-mcs80on	287431	0	7	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	287517	0	13	13010	337.3936462402344	0.11663581430912018	143.17623901367188	341.4757995605469	343.4	376.1	143.2	1	0	0	0	1	0	0	10
work-mcp1k-mcs80on	287555	0	18	65023	111.26299285888672	0.7671639323234558	41.87564468383789	125.71861267089844	126.1	126.2	41.9	-1	-1	-1	-1	-1	1	1	3
work-mcp1k-mcs80on	287599	0	6	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	287621	0	6	6007	656.9715576171875	0.9330470561981201	55.01203155517578	154.58717346191406	155.2	270.7	55.0	1	0	0	0	1	0	0	4
work-mcp1k-mcs80on	287654	0	12	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	287825	0	5	5001	250.06158447265625	0.29509788751602173	121.45387268066406	295.543212890625	298.9	299.3	122.4	1	0	0	0	1	0	0	8
work-mcp1k-mcs80on	287830	0	16	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	288067	0	7	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	288287	0	10	10003	3313.1318359375	0.9923986792564392	134.215576171875	322.52264404296875	331.4	298.0	137.5	0	0	0	0	1	0	0	9
work-mcp1k-mcs80on	288327	0	22	22005	336.7584533691406	0.943095862865448	78.0567626953125	204.02906799316406	207.5	169.2	79.3	0	0	0	0	1	0	0	5
work-mcp1k-mcs80on	288358	0	3	3001	694.1085205078125	0.8505938649177551	120.09085845947266	292.6689453125	298.4	342.6	122.1	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	288639	0	8	8000	496.0105285644531	0.8509594798088074	82.1911849975586	212.74757385253906	213.5	197.5	82.2	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	288745	0	23	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	288859	0	9	9006	1202.8104248046875	0.7425457239151001	239.7029571533203	550.843994140625	564.5	522.7	244.1	0	0	0	0	1	0	0	16
work-mcp1k-mcs80on	288947	0	16	16005	203.08636474609375	0.740235447883606	62.56827926635742	170.82398986816406	171.5	166.4	62.6	1	0	0	0	1	0	0	4
work-mcp1k-mcs80on	289141	0	8	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	289251	0	12	12002	1349.829833984375	0.9058858156204224	139.44439697265625	333.5823974609375	336.5	327.4	139.9	0	0	0	0	1	0	0	10
work-mcp1k-mcs80on	289559	0	14	14007	1255.8936767578125	0.8860929608345032	101.11710357666016	252.65782165527344	253.8	224.6	101.1	0	0	0	0	1	1	1	7
work-mcp1k-mcs80on	289832	0	10	10001	888.1943969726562	0.5605162978172302	218.75860595703125	504.9619445800781	510.0	495.5	219.7	0	0	0	0	1	2	3	15
