arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
arm	028084_12	1310	59	59	51.7583	0	0.5254	6	0.3458	0.5730	6.8014	23	3
arm	028084_12	1320	686	665	438.5638	1	0.0060	8	1.0874	0.0946	1.7440	3	1
arm	028084_13	1090	313	313	197.1251	0	0.0192	8	0.7931	0.3781	0.8047	3	1
arm	028084_14	290	269	263	167.4590	0	0.3802	8	0.1550	0.7158	1.5926	86	5
arm	028084_15	240	88	88	53.2665	0	0.4773	8	0.2727	1.1120	0.3069	27	3
arm	028084_15	280	90	88	56.4274	0	0.2841	8	0.5730	0.7579	nan	21	4
arm	028084_15	310	59	53	35.2689	0	0.9245	7	0.1692	0.2888	nan	49	5
arm	028084_15	470	182	146	113.5711	1	0.4658	8	0.4651	0.2881	1.8125	71	6
arm	028084_16	470	203	203	131.7775	0	0.0246	7	0.7143	0.5270	0.2195	2	0
arm	028084_16	1020	190	189	123.5130	0	0.0265	8	0.6619	0.2611	1.3107	3	0
arm	028084_16	1100	210	210	136.1260	0	0.0619	8	0.4927	1.1289	0.0809	13	1
